ID,Structure Type,Update Ratio,Initial Size,Class Name,Threads,Throughput1,Throughput2,Throughput3,Throughput4
0,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,1,2181453.9092181562,2191598.680263947,2167577.2845430914,2232858.2566973213,2178744.753148111
1,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,2,3205748.7005197923,3332110.777844431,3410976.204759048,3393875.624875025,3410648.340663735
2,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,4,6820501.399440224,6324006.397441024,5507830.067972811,5791870.451819273,5735554.289142171
3,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,8,13343803.996003997,12850137.345061976,13131735.5586648,12493826.304217469,11893994.602159137
4,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,16,23298486.707975212,23173199.440447643,24454932.254196644,24021834.93205436,23382797.321607035
5,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,32,44957713.48651349,41187507.987220444,46846869.33066933,41565174.55562213,44078198.56172593
6,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,1,1535593.6812637472,1568645.7417033187,1568008.394963022,1565741.051789642,1585336.2654938025
7,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,2,3252192.722910836,2973608.8782243547,3236144.142343063,3201800.3198081153,3054443.1113777244
8,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,4,4187266.7466506697,5894042.1831267495,6384099.960015994,6498130.347860856,6287175.659472423
9,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,8,12877279.68812475,9862243.50259896,12688438.736757945,12482374.050379848,10998168.732506998
10,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,16,24453065.881413452,24426937.96130062,22611388.966620028,22001013.5891287,25199631.22126724
11,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,32,49452075.908909306,51134624.00159744,46525029.77022977,47233046.74390731,44859600.1998002
12,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,1,1901079.9840031993,1914812.8374325135,1926453.8369304559,1905510.4979004199,1872883.4233153367
13,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,2,2512623.550579768,2604596.480703859,2256751.699320272,2299841.5267785774,2384627.74890044
14,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,4,4433891.621675665,4094668.3326669335,4551321.671331468,4272335.065973611,4279889.488409273
15,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,8,8983375.574655207,8675634.546181528,7681707.911957168,8151334.066373451,7891751.699320273
